age,income,education,credit_score,loan_amount,loan_term,employment_status,marital_status,loan_approved
48,146161,PhD,814.0,30242,48,Unemployed,Married,No
22,28666,Masters,748.0,7176,48,Self-Employed,Single,No
62,77761,PhD,,25127,36,Unemployed,Single,No
26,141178,Bachelors,782.0,46560,48,Self-Employed,Divorced,Yes
48,56368,Bachelors,523.0,32228,12,Employed,Married,No
48,26783,Bachelors,790.0,25208,36,Employed,Divorced,No
64,131530,Masters,772.0,33482,24,Unemployed,Divorced,No
64,61914,Bachelors,309.0,14171,48,Unemployed,Single,No
40,90507,High School,704.0,40219,36,Unemployed,Divorced,No
50,147738,PhD,601.0,38396,12,Self-Employed,Married,Yes
31,99026,PhD,530.0,47589,60,Unemployed,Single,No
48,135893,High School,365.0,45546,60,Unemployed,Married,No
45,131255,Masters,411.0,8696,12,Employed,Married,No
59,130616,Masters,312.0,25058,12,Unemployed,Single,No
53,87526,PhD,692.0,25313,60,Employed,Married,Yes
21,90835,,799.0,24149,36,Unemployed,Single,No
47,65765,Masters,533.0,46075,60,Employed,Married,No
33,39956,Masters,613.0,9956,12,Unemployed,Single,No
61,107895,High School,311.0,15195,48,Employed,Divorced,No
23,66240,High School,508.0,22076,24,Self-Employed,Married,No
59,141008,Bachelors,313.0,6105,48,Employed,Single,No
26,57148,Masters,717.0,20417,48,Employed,Married,Yes
28,114270,Masters,736.0,29729,12,Employed,Married,Yes
47,147978,High School,676.0,35099,60,Unemployed,Married,No
29,24757,Masters,319.0,37598,36,Unemployed,Single,No
57,39097,PhD,369.0,34961,48,Unemployed,Divorced,No
53,30395,High School,510.0,17602,60,Self-Employed,Divorced,No
62,36241,Bachelors,400.0,14256,36,Self-Employed,,No
64,123892,High School,431.0,25584,48,Employed,Single,No
44,47696,Masters,680.0,39681,36,Self-Employed,Divorced,Yes
35,135654,Bachelors,431.0,30792,60,Employed,Single,No
52,90480,High School,319.0,26904,24,Employed,Married,No
52,66163,PhD,835.0,48361,60,Employed,Married,Yes
44,39816,PhD,526.0,39540,12,Self-Employed,Divorced,No
61,69840,High School,453.0,31536,36,Unemployed,Single,No
32,122547,PhD,768.0,24164,24,Self-Employed,,Yes
59,72853,PhD,704.0,17996,36,Employed,Single,Yes
22,44917,PhD,501.0,7871,36,Employed,Single,No
23,116731,Bachelors,337.0,27626,48,Self-Employed,,No
57,41566,PhD,487.0,15521,12,Employed,Single,No
37,95452,PhD,356.0,48410,36,Employed,Married,No
22,82823,PhD,319.0,6132,60,Self-Employed,Married,No
22,141392,Bachelors,572.0,38467,60,Self-Employed,Married,No
48,40806,High School,418.0,19534,48,Self-Employed,Single,No
43,95520,Masters,815.0,28854,12,Employed,Married,Yes
57,21759,PhD,520.0,47998,12,Employed,Single,No
52,146092,High School,825.0,44065,60,Unemployed,Married,No
53,61949,PhD,814.0,12812,24,Unemployed,Married,No
21,112374,Bachelors,635.0,9557,48,Self-Employed,Divorced,Yes
39,22482,High School,354.0,7179,48,Unemployed,Divorced,No
22,44442,Bachelors,799.0,48798,60,Employed,Divorced,Yes
64,53719,PhD,,14065,60,Unemployed,Single,No
46,78066,PhD,,13275,24,Employed,Single,No
52,113501,Bachelors,458.0,40948,24,Self-Employed,Married,No
26,22079,Masters,487.0,25700,12,Self-Employed,Married,No
52,22717,Bachelors,359.0,44464,48,Employed,Married,No
24,79676,PhD,618.0,47351,48,Unemployed,Married,No
31,47952,Bachelors,510.0,32794,60,Self-Employed,Single,No
37,106444,,705.0,33783,12,Self-Employed,Married,Yes
58,62460,Bachelors,408.0,21998,48,Unemployed,Married,No
44,110397,Masters,375.0,18869,12,Unemployed,Divorced,No
25,92847,Masters,841.0,49525,12,Employed,Married,Yes
54,113607,Bachelors,613.0,33152,60,Unemployed,Married,No
26,109106,Bachelors,416.0,25954,12,Unemployed,Married,No
42,38449,High School,318.0,36555,24,Unemployed,Single,No
31,53536,PhD,731.0,21654,24,Employed,Divorced,Yes
36,84077,Masters,649.0,40236,36,Employed,Married,Yes
53,58258,High School,482.0,20042,60,Self-Employed,Married,No
29,68302,,412.0,30966,36,Employed,Divorced,No
26,145937,PhD,482.0,49314,24,Self-Employed,Married,No
36,48865,High School,780.0,19270,36,Unemployed,Single,No
49,26645,Masters,445.0,35908,60,Self-Employed,Married,No
23,139771,High School,412.0,20523,60,Self-Employed,Single,No
40,58000,Masters,775.0,24991,12,Unemployed,Single,No
56,46737,Bachelors,602.0,15775,48,Self-Employed,Married,Yes
39,31485,PhD,417.0,17265,12,Employed,Divorced,No
46,58565,PhD,460.0,24459,60,Employed,Single,No
23,45522,PhD,700.0,21673,24,Employed,Divorced,Yes
39,139614,Bachelors,497.0,32056,24,Employed,Married,No
40,85155,Masters,559.0,11614,12,Self-Employed,Single,No
52,75168,Bachelors,346.0,41020,60,Self-Employed,Married,No
27,72487,PhD,698.0,12415,24,Unemployed,,No
61,149948,Bachelors,,28155,60,Self-Employed,Married,No
53,32342,Bachelors,423.0,48884,24,Self-Employed,Married,No
60,60806,,374.0,21964,60,Self-Employed,Single,No
59,68770,,436.0,42726,36,Unemployed,Married,No
38,98623,High School,699.0,42044,60,Employed,Married,Yes
60,123177,High School,804.0,42544,60,Self-Employed,Married,Yes
21,119785,Bachelors,,37252,12,Unemployed,Single,No
31,95629,High School,437.0,8832,36,Unemployed,Divorced,No
48,140993,High School,349.0,30275,48,Unemployed,Divorced,No
45,72603,Bachelors,553.0,19901,12,Employed,Married,No
43,146944,Bachelors,725.0,43213,48,Self-Employed,Single,Yes
51,132726,PhD,846.0,39148,24,Unemployed,Married,No
50,101974,High School,601.0,47633,48,Employed,Divorced,Yes
62,125947,Masters,648.0,27918,60,Unemployed,Single,No
55,46399,Bachelors,,24540,48,Unemployed,Divorced,No
27,148177,PhD,373.0,16580,12,Unemployed,Divorced,No
36,105382,Masters,560.0,43402,12,Unemployed,Single,No
46,101244,High School,655.0,43578,48,Unemployed,Single,No
22,129575,PhD,559.0,29917,12,Employed,Married,No
21,135520,Bachelors,594.0,27318,12,Self-Employed,Married,No
32,130904,Masters,612.0,15179,48,Self-Employed,Divorced,Yes
25,96534,Bachelors,481.0,17251,36,Self-Employed,Single,No
57,75106,High School,663.0,24493,36,Self-Employed,Single,Yes
52,132599,Masters,487.0,25466,24,Employed,Married,No
29,50678,High School,842.0,35206,12,Employed,Divorced,Yes
61,96218,High School,847.0,24624,48,Employed,Divorced,Yes
55,83230,PhD,707.0,31564,12,Unemployed,Married,No
39,134684,Bachelors,713.0,27412,60,Unemployed,Single,No
36,94055,,641.0,32990,12,Unemployed,Married,No
23,76373,High School,519.0,40517,12,Self-Employed,Married,No
40,51480,High School,462.0,18156,36,Unemployed,Married,No
44,105230,Masters,519.0,28064,48,Self-Employed,Married,No
53,88836,High School,569.0,30711,12,Unemployed,Single,No
44,92258,PhD,699.0,35106,36,Self-Employed,Married,Yes
31,59986,PhD,481.0,21589,24,Unemployed,Single,No
28,44160,PhD,504.0,28736,36,Unemployed,,No
56,105595,PhD,527.0,25975,36,Employed,Divorced,No
58,121358,High School,,41218,36,Unemployed,Single,No
60,99111,Masters,740.0,12214,12,Unemployed,Divorced,No
40,84929,Masters,832.0,35581,12,Employed,Married,Yes
55,93506,Masters,495.0,25195,24,Self-Employed,Married,No
45,54911,Masters,818.0,49582,60,Employed,Married,Yes
55,107127,Bachelors,369.0,32127,60,Employed,Single,No
45,51821,Masters,698.0,10141,60,Self-Employed,Divorced,Yes
49,95039,Bachelors,502.0,33884,24,Unemployed,Single,No
38,80535,Bachelors,447.0,29885,60,Self-Employed,Single,No
38,133453,PhD,771.0,7708,60,Unemployed,Married,No
22,104458,Bachelors,498.0,23375,36,Unemployed,Divorced,No
55,32175,High School,725.0,20088,12,Self-Employed,Married,No
36,139235,Bachelors,791.0,49602,12,Employed,Single,Yes
61,74771,PhD,441.0,15014,36,Self-Employed,Married,No
56,126660,Bachelors,612.0,8273,36,Unemployed,Divorced,No
53,147157,High School,464.0,42306,36,Self-Employed,Married,No
24,141300,High School,613.0,35881,12,Self-Employed,Divorced,Yes
53,106925,High School,320.0,36486,60,Unemployed,Divorced,No
34,133374,PhD,381.0,17541,36,Employed,Married,No
41,86358,PhD,430.0,13712,24,Self-Employed,Single,No
40,37327,Masters,604.0,14168,36,Unemployed,Married,No
28,67057,PhD,670.0,8551,48,Unemployed,Single,No
27,26150,High School,683.0,17297,36,Self-Employed,Single,No
23,24425,High School,744.0,48733,12,Employed,Married,No
37,143654,PhD,724.0,32128,36,Self-Employed,Single,Yes
53,36032,Bachelors,460.0,7832,48,Employed,Single,No
32,22198,PhD,477.0,33483,24,Employed,Married,No
42,80500,PhD,789.0,27063,60,Employed,Married,Yes
42,73394,High School,626.0,27963,36,Employed,Married,Yes
50,40079,Masters,588.0,18422,48,Self-Employed,Single,No
58,56220,High School,653.0,37920,48,Unemployed,Divorced,No
58,61874,Masters,327.0,16156,24,Unemployed,Single,No
28,33859,High School,342.0,16108,12,Unemployed,Divorced,No
47,70460,PhD,722.0,36845,36,Unemployed,Married,No
47,51419,High School,476.0,7800,48,Unemployed,Divorced,No
54,138865,High School,,43078,24,Unemployed,Married,No
41,28705,High School,793.0,47712,60,Self-Employed,Married,No
50,62880,PhD,497.0,7610,48,Employed,Divorced,No
53,149838,PhD,816.0,17067,24,Unemployed,,No
48,43236,PhD,813.0,38872,12,Self-Employed,Divorced,Yes
53,107955,PhD,321.0,15728,12,Unemployed,Married,No
25,105514,Masters,411.0,34566,48,Unemployed,Single,No
39,123145,Masters,356.0,34783,48,Employed,Single,No
24,35358,Bachelors,,25583,36,Employed,Married,No
55,119713,PhD,397.0,25238,24,Employed,Married,No
37,114914,Masters,443.0,12263,48,Unemployed,,No
64,122870,High School,734.0,6914,36,Unemployed,Single,No
48,96918,PhD,385.0,28749,36,Unemployed,Divorced,No
50,139179,Bachelors,643.0,24456,48,Employed,Married,Yes
49,136243,Bachelors,593.0,30582,12,Self-Employed,Married,No
26,34596,Bachelors,542.0,5406,24,Unemployed,Divorced,No
55,53572,High School,331.0,18689,24,Unemployed,Married,No
61,98757,Masters,690.0,37934,12,Unemployed,Single,No
57,21279,High School,576.0,38276,48,Self-Employed,Divorced,No
44,83197,PhD,831.0,41432,24,Unemployed,Single,No
49,131496,Bachelors,453.0,24873,48,Self-Employed,Single,No
51,82516,High School,682.0,18050,48,Unemployed,Single,No
55,27083,High School,367.0,5680,36,Self-Employed,Divorced,No
53,140674,Masters,513.0,23908,12,Unemployed,Married,No
41,140307,Masters,675.0,23504,48,Employed,,Yes
52,146457,Bachelors,512.0,26644,60,Employed,Single,No
43,129397,High School,378.0,42125,12,Employed,Single,No
53,37771,High School,680.0,6363,24,Employed,Married,No
23,49975,Masters,357.0,47291,36,Unemployed,Married,No
38,65648,High School,325.0,40060,24,Employed,Divorced,No
45,145641,High School,746.0,6538,24,Self-Employed,Married,Yes
62,68285,High School,365.0,41176,12,Employed,Divorced,No
51,39063,Masters,553.0,46520,24,Employed,Divorced,No
23,87642,Bachelors,343.0,30675,48,Employed,Divorced,No
60,110093,PhD,396.0,23287,24,Unemployed,,No
44,134390,Bachelors,526.0,5174,36,Employed,Divorced,No
52,106143,PhD,735.0,31732,36,Self-Employed,Single,Yes
42,57599,High School,678.0,39998,60,Employed,Married,Yes
43,71920,Bachelors,477.0,42055,36,Employed,Single,No
22,48529,,726.0,17112,24,Employed,Divorced,Yes
47,55954,Masters,606.0,44874,36,Self-Employed,Married,Yes
62,47856,Masters,803.0,14689,12,Employed,Single,Yes
22,22573,Bachelors,567.0,49814,36,Self-Employed,Single,No
46,98344,Bachelors,307.0,24555,48,Self-Employed,Divorced,No
37,55367,High School,807.0,38919,12,Employed,Single,Yes
60,122337,Bachelors,775.0,12619,60,Self-Employed,Single,Yes
53,126732,High School,596.0,11033,48,Unemployed,Single,No
29,119608,High School,463.0,46328,24,Employed,Single,No
63,80774,Masters,784.0,9946,24,Employed,Single,Yes
59,43752,Masters,371.0,29618,24,Self-Employed,Divorced,No
49,75029,PhD,537.0,39675,48,Self-Employed,Divorced,No
62,37685,Masters,403.0,41258,48,Employed,Single,No
46,71693,Masters,509.0,23919,48,Unemployed,Divorced,No
55,136739,Bachelors,767.0,9173,12,Self-Employed,Divorced,Yes
45,75961,Masters,753.0,48833,12,Self-Employed,Married,Yes
44,126937,PhD,567.0,31400,24,Unemployed,Single,No
33,144956,Bachelors,685.0,9769,36,Unemployed,Divorced,No
27,96908,PhD,686.0,42564,24,Employed,Divorced,Yes
56,145537,Masters,,19211,60,Unemployed,Single,No
40,146678,PhD,582.0,28255,12,Employed,Married,No
21,94532,Bachelors,339.0,32962,48,Unemployed,Single,No
28,101994,High School,785.0,24356,12,Self-Employed,Married,Yes
36,76133,PhD,519.0,25306,48,Employed,,No
34,117425,PhD,428.0,9997,60,Employed,Single,No
32,145055,Bachelors,819.0,22376,60,Employed,Single,Yes
43,81268,Bachelors,559.0,45880,12,Unemployed,Single,No
35,112201,PhD,665.0,43055,48,Self-Employed,Married,Yes
48,58243,,843.0,15578,60,Employed,Married,Yes
54,77384,PhD,823.0,23624,24,Employed,Divorced,Yes
22,51653,,315.0,44194,24,Employed,Single,No
52,46657,High School,428.0,49367,48,Employed,Married,No
43,59952,High School,408.0,5389,12,Self-Employed,Married,No
42,42180,Masters,832.0,38767,60,Unemployed,Married,No
45,117432,PhD,568.0,6855,12,Self-Employed,Single,No
42,141829,High School,461.0,45893,24,Employed,Divorced,No
42,148377,PhD,559.0,18794,60,Self-Employed,Married,No
62,98411,Bachelors,401.0,40531,12,Employed,Single,No
26,21622,High School,805.0,9986,36,Unemployed,Married,No
35,68756,Masters,546.0,37298,48,Unemployed,Married,No
63,60809,Bachelors,836.0,6481,48,Unemployed,Divorced,No
57,36725,Masters,430.0,8731,36,Employed,Married,No
53,81396,Bachelors,652.0,21835,24,Self-Employed,Married,Yes
28,71226,High School,495.0,32798,60,Unemployed,Single,No
64,126296,Masters,681.0,31113,48,Employed,Single,Yes
64,101182,Masters,526.0,24477,36,Employed,Divorced,No
25,102565,Bachelors,775.0,22266,36,Self-Employed,Single,Yes
59,49402,Masters,776.0,25792,24,Unemployed,Single,No
24,24263,Bachelors,564.0,25452,24,Employed,Divorced,No
26,143489,Bachelors,,48526,12,Self-Employed,Married,Yes
52,116523,Bachelors,785.0,46334,48,Unemployed,Divorced,No
50,66828,,733.0,16889,12,Self-Employed,Single,Yes
55,140824,High School,510.0,29335,36,Self-Employed,Divorced,No
60,67924,Bachelors,676.0,16254,60,Employed,Married,Yes
36,94182,PhD,694.0,26074,60,Employed,Divorced,Yes
33,113065,Masters,749.0,16442,24,Employed,Single,Yes
62,79052,PhD,663.0,42327,60,Self-Employed,Single,Yes
50,31664,High School,756.0,21199,60,Employed,Divorced,No
39,55737,PhD,525.0,12291,60,Self-Employed,Married,No
37,121332,Masters,430.0,45928,36,Self-Employed,Divorced,No
39,109563,PhD,775.0,5112,60,Employed,Married,Yes
48,49373,High School,576.0,26515,60,Unemployed,Married,No
46,137369,Bachelors,,24581,60,Unemployed,Divorced,No
57,56397,PhD,517.0,31500,12,Unemployed,Married,No
46,148575,High School,489.0,37026,36,Self-Employed,Single,No
43,106145,High School,716.0,21523,24,Self-Employed,Divorced,Yes
29,121371,Masters,845.0,6424,12,Self-Employed,Married,Yes
32,58709,Masters,340.0,24552,48,Employed,Single,No
21,136074,PhD,,15808,36,Self-Employed,Divorced,Yes
21,81120,Bachelors,637.0,43811,36,Employed,Single,Yes
54,39250,High School,613.0,11989,48,Employed,Single,No
52,41172,PhD,374.0,28620,48,Unemployed,Single,No
45,31555,High School,578.0,44029,48,Unemployed,Married,No
60,107410,High School,475.0,5887,24,Unemployed,Divorced,No
21,98617,Bachelors,572.0,36802,60,Employed,Divorced,No
36,73276,Bachelors,588.0,24488,36,Employed,Married,No
59,77492,,571.0,35013,60,Employed,,No
25,73002,Bachelors,365.0,21402,60,Self-Employed,Single,No
42,140103,Bachelors,782.0,26205,48,Employed,Divorced,Yes
49,144938,PhD,547.0,31049,24,Unemployed,Married,No
23,109599,Bachelors,455.0,17253,12,Unemployed,Single,No
32,92355,Masters,346.0,23990,24,Employed,Married,No
46,111248,High School,753.0,12846,60,Employed,Single,Yes
36,44762,High School,500.0,30027,24,Unemployed,Single,No
57,31046,High School,423.0,44200,48,Employed,Divorced,No
42,116999,High School,300.0,8765,12,Unemployed,Single,No
49,144130,PhD,490.0,20950,48,Self-Employed,Married,No
34,136021,High School,815.0,14741,12,Unemployed,Divorced,No
48,48769,High School,741.0,27742,60,Self-Employed,Married,Yes
25,73302,High School,442.0,29703,12,Employed,Single,No
50,43150,High School,490.0,43709,12,Employed,Married,No
25,88247,Masters,832.0,42623,12,Self-Employed,Married,Yes
32,24853,High School,526.0,27931,24,Employed,Single,No
36,114613,Masters,612.0,28580,24,Self-Employed,Divorced,Yes
46,140900,PhD,,20166,60,Employed,Married,Yes
46,109399,Bachelors,759.0,34240,12,Unemployed,Single,No
41,41792,,700.0,30991,36,Employed,Divorced,Yes
59,79129,Bachelors,692.0,43556,60,Unemployed,Divorced,No
56,126019,Bachelors,506.0,37969,12,Unemployed,Divorced,No
53,94478,PhD,509.0,15561,12,Self-Employed,Married,No
50,133811,Bachelors,414.0,21901,24,Employed,Married,No
57,134130,Masters,550.0,45505,60,Self-Employed,Married,No
43,87298,Bachelors,518.0,35020,12,Employed,,No
30,51987,Bachelors,,30917,12,Unemployed,Married,No
25,35850,Bachelors,742.0,6988,60,Unemployed,,No
56,32112,High School,653.0,49505,36,Employed,Married,No
54,141789,High School,849.0,19256,60,Employed,Married,Yes
51,44058,Masters,441.0,27192,60,Self-Employed,Divorced,No
30,65420,Masters,800.0,33230,36,Employed,Married,Yes
39,58890,High School,846.0,44930,60,Employed,Single,Yes
52,86017,Masters,,27625,12,Employed,Divorced,Yes
21,67304,High School,806.0,37088,60,Self-Employed,Single,Yes
25,52921,PhD,580.0,19114,36,Employed,Divorced,No
24,125921,Bachelors,723.0,46167,48,Unemployed,Divorced,No
36,21524,Bachelors,569.0,43401,60,Self-Employed,,No
44,120424,Masters,453.0,10755,24,Self-Employed,Single,No
36,35048,High School,382.0,15825,12,Unemployed,Divorced,No
22,55111,High School,725.0,27693,12,Unemployed,Married,No
48,57904,Masters,574.0,9117,24,Unemployed,Divorced,No
52,74912,High School,583.0,29729,24,Employed,Divorced,No
47,54008,PhD,472.0,37182,60,Unemployed,Divorced,No
40,20060,Bachelors,626.0,33890,24,Employed,Divorced,No
